date,browser,os_version,visits
2024-01-04,Internet Explorer,2000,4734
2024-01-04,Internet Explorer,XP,504
2024-01-04,Internet Explorer,10,417
2024-01-03,Internet Explorer,10,434
2024-01-03,Internet Explorer,XP,434
2024-01-02,Internet Explorer,XP,469
2024-01-02,Internet Explorer,10,339
2024-01-01,Internet Explorer,XP,400
2023-12-31,Internet Explorer,XP,495
2023-12-30,Internet Explorer,XP,434
2023-12-29,Internet Explorer,2000,9686
2023-12-29,Internet Explorer,XP,417
2023-12-29,Internet Explorer,10,235
2023-12-28,Internet Explorer,2000,3240
2023-12-28,Internet Explorer,XP,504
2023-12-28,Internet Explorer,10,356
2023-12-27,Internet Explorer,10,347
2023-12-27,Internet Explorer,XP,330
2023-12-26,Internet Explorer,XP,513
2023-12-26,Internet Explorer,10,252
2023-12-25,Internet Explorer,XP,417
2023-12-24,Internet Explorer,XP,565
2023-12-23,Internet Explorer,XP,443
2023-12-22,Internet Explorer,XP,417
2023-12-22,Internet Explorer,10,321
2023-12-21,Internet Explorer,XP,521
2023-12-21,Internet Explorer,10,391
2023-12-20,Internet Explorer,2000,13829
2023-12-20,Internet Explorer,XP,434
2023-12-20,Internet Explorer,10,313
2023-12-19,Internet Explorer,2000,5403
2023-12-19,Internet Explorer,XP,530
2023-12-19,Internet Explorer,10,408
2023-12-18,Internet Explorer,XP,539
2023-12-18,Internet Explorer,10,330
2023-12-17,Internet Explorer,XP,365
2023-12-16,Internet Explorer,XP,374
2023-12-15,Internet Explorer,XP,495
2023-12-15,Internet Explorer,10,339
2023-12-14,Internet Explorer,XP,513
2023-12-14,Internet Explorer,10,434
2023-12-13,Internet Explorer,XP,521
2023-12-13,Internet Explorer,10,365
2023-12-12,Internet Explorer,XP,478
2023-12-12,Internet Explorer,10,391
2023-12-11,Internet Explorer,XP,434
2023-12-11,Internet Explorer,10,426
2023-12-10,Internet Explorer,XP,452
2023-12-09,Internet Explorer,XP,513
2023-12-08,Internet Explorer,XP,513
2023-12-08,Internet Explorer,10,235
2023-12-07,Internet Explorer,10,408
2023-12-07,Internet Explorer,XP,347
2023-12-06,Internet Explorer,XP,356
2023-12-06,Internet Explorer,10,321
2023-12-05,Internet Explorer,10,374
2023-12-05,Internet Explorer,XP,313
2023-12-04,Internet Explorer,2000,10685
2023-12-04,Internet Explorer,10,408
2023-12-04,Internet Explorer,XP,382
2023-12-03,Internet Explorer,XP,460
2023-12-02,Internet Explorer,XP,295
2023-12-01,Internet Explorer,XP,400
2023-12-01,Internet Explorer,10,330
2023-11-30,Internet Explorer,XP,417
2023-11-30,Internet Explorer,10,374
2023-11-29,Internet Explorer,2000,4448
2023-11-29,Internet Explorer,10,426
2023-11-29,Internet Explorer,XP,269
2023-11-28,Internet Explorer,XP,417
2023-11-28,Internet Explorer,10,295
2023-11-27,Internet Explorer,10,382
2023-11-27,Internet Explorer,XP,374
2023-11-26,Internet Explorer,XP,408
2023-11-25,Internet Explorer,XP,261
2023-11-24,Internet Explorer,XP,330
2023-11-24,Internet Explorer,10,130
2023-11-23,Internet Explorer,XP,408
2023-11-23,Internet Explorer,10,130
2023-11-22,Internet Explorer,XP,408
2023-11-22,Internet Explorer,10,217
2023-11-21,Internet Explorer,XP,287
2023-11-21,Internet Explorer,10,252
2023-11-20,Internet Explorer,10,400
2023-11-20,Internet Explorer,XP,391
2023-11-19,Internet Explorer,XP,434
2023-11-18,Internet Explorer,XP,391
2023-11-17,Internet Explorer,XP,391
2023-11-17,Internet Explorer,10,252
2023-11-16,Internet Explorer,2000,13282
2023-11-16,Internet Explorer,10,460
2023-11-16,Internet Explorer,XP,417
2023-11-15,Internet Explorer,10,504
2023-11-15,Internet Explorer,XP,313
2023-11-14,Internet Explorer,10,374
2023-11-14,Internet Explorer,XP,339
2023-11-13,Internet Explorer,XP,408
2023-11-13,Internet Explorer,10,356
2023-11-12,Internet Explorer,XP,443
2023-11-11,Internet Explorer,XP,347
2023-11-10,Internet Explorer,XP,408
2023-11-10,Internet Explorer,10,217
2023-11-09,Internet Explorer,XP,321
2023-11-09,Internet Explorer,10,313
2023-11-08,Internet Explorer,10,391
2023-11-08,Internet Explorer,XP,304
2023-11-07,Internet Explorer,XP,434
2023-11-07,Internet Explorer,10,426
2023-11-06,Internet Explorer,XP,443
2023-11-06,Internet Explorer,10,356
2023-11-05,Internet Explorer,XP,356
2023-11-04,Internet Explorer,XP,478
2023-11-03,Internet Explorer,10,365
2023-11-03,Internet Explorer,XP,365
2023-11-02,Internet Explorer,10,339
2023-11-02,Internet Explorer,XP,321
2023-11-01,Internet Explorer,XP,374
2023-11-01,Internet Explorer,10,356
2023-11-01,Internet Explorer,8,252
2023-10-31,Internet Explorer,XP,347
2023-10-31,Internet Explorer,10,295
2023-10-31,Internet Explorer,8,243
2023-10-30,Internet Explorer,XP,408
2023-10-30,Internet Explorer,10,269
2023-10-30,Internet Explorer,8,261
2023-10-29,Internet Explorer,XP,374
2023-10-28,Internet Explorer,XP,391
2023-10-27,Internet Explorer,2000,3092
2023-10-27,Internet Explorer,XP,408
2023-10-27,Internet Explorer,10,261
2023-10-27,Internet Explorer,8,217
2023-10-26,Internet Explorer,10,321
2023-10-26,Internet Explorer,XP,313
2023-10-26,Internet Explorer,8,295
2023-10-25,Internet Explorer,XP,347
2023-10-25,Internet Explorer,10,339
2023-10-25,Internet Explorer,8,217
2023-10-24,Internet Explorer,10,382
2023-10-24,Internet Explorer,XP,365
2023-10-24,Internet Explorer,8,313
2023-10-23,Internet Explorer,XP,521
