date,browser,os_version,visits
2023-12-08,Internet Explorer,10,106
2023-12-05,Internet Explorer,10,121
2023-11-29,Internet Explorer,10,110
2023-11-27,Internet Explorer,10,138
2023-11-15,Internet Explorer,10,102
2023-11-07,Internet Explorer,10,111
2023-11-02,Internet Explorer,10,102
2023-10-31,Internet Explorer,10,106
2023-10-25,Internet Explorer,10,101
2023-10-18,Internet Explorer,10,108
2023-10-17,Internet Explorer,10,115
2023-10-16,Internet Explorer,10,163
2023-10-13,Internet Explorer,10,117
2023-10-12,Internet Explorer,10,111
2023-10-11,Internet Explorer,10,125
2023-10-10,Internet Explorer,10,147
